juris_id,ecozone,canfi_genus,genus,a,b,k,cap,volm,count,rmse
BC,13,4,TSUG,2.896700294,-1.262326712,0.998688527,1.051082755,1876.337458,65,0.003170338
BC,13,5,PSEU,0.54870672,-0.835829886,0.996274057,1.022997618,1828.8488792000001,73,0.0080273
BC,13,6,LARI,0.903083756,-1.223324312,0.999524272,1.014771267,795.06432588999996,31,0.000861213
BC,13,7,THUJ,99.99999999,-1.896679055,1.006262742,1.242212467,1451.5008875999999,42,0.057165069800000003
BC,13,8,GENC,2.896700294,-1.262326712,0.998688527,1.051082755,1876.337458,65,0.003170338
BC,13,9,POPU,99.99999999,-2.272171647,0.998331188,1.037025318,567.41213436999999,13,0.002158825
BC,13,10,BETU,0.890895605,-0.010674865,0.170398718,1.02312178,361.3541063,7,0.018554142
BC,13,11,ACER,99.99999999,-2.272171647,0.998331188,1.037025318,567.41213436999999,13,0.002158825
BC,13,12,GENH,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,71,JUNI,99.99999999,-1.896679055,1.006262742,1.242212467,1451.5008875999999,42,0.057165069800000003
BC,13,72,TAXU,99.99999999,-1.896679055,1.006262742,1.242212467,1451.5008875999999,42,0.057165069800000003
BC,13,73,CHAM,99.99999999,-1.896679055,1.006262742,1.242212467,1451.5008875999999,42,0.057165069800000003
BC,13,121,CARY,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,122,JUGL,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,123,ALNU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,124,OSTR,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,125,CARP,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,126,FAGU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,127,QUER,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,128,ULMU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,129,MORU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,130,LIRI,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,131,MAGN,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,132,SASS,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,133,PLAT,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,134,PRUN,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,135,GLED,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,136,ROBI,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,137,TILI,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,138,NYSS,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,139,CORN,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,140,ARBU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,141,FRAX,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,142,SALI,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,143,GYMN,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,144,CELT,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,145,AMEL,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,146,CORY,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,147,CRAT,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,148,ILEX,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,149,MALU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,150,NEMO,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,151,RHUS,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,152,SORB,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,153,VIBU,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,154,CAST,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,13,155,ASIM,99.99999999,-2.202629612,0.998115883,1.042735212,879.85425497999995,19,0.004728014
BC,14,1,PICE,0.200355006,-0.677309647,0.995499139,1.021389224,1061.6165777000001,47,0.003267092
BC,14,2,PINU,99.99999999,-2.257283737,1.000036453,1.039719155,873.00446379000005,39,0.00202948
BC,14,3,ABIE,73.57445775,-2.389234531,1.000852762,1.034286731,948.14513294000005,33,0.001587254
BC,14,4,TSUG,14.47105918,-1.787275912,1.002914723,1.037795726,879.86950308999997,38,0.013010259099999999
BC,14,5,PSEU,16.7497384,-1.935597145,1.000233784,1.046652605,1855.68859,51,0.000490764
BC,14,6,LARI,0.903083756,-1.223324312,0.999524272,1.014771267,795.06432588999996,31,0.000861213
BC,14,7,THUJ,0.371875598,-0.663187838,0.991258332,1.070260389,2473.4432956000001,43,0.010500813499999999
BC,14,8,GENC,0.200355006,-0.677309647,0.995499139,1.021389224,1061.6165777000001,47,0.003267092
BC,14,9,POPU,99.99999999,-2.168093113,0.998622459,1.052408882,650.5206809,31,0.006982998
BC,14,10,BETU,0.71912159,-1.043654415,0.997744334,1.019765385,553.21248691000005,18,0.004182663
BC,14,11,ACER,99.99999999,-2.168093113,0.998622459,1.052408882,650.5206809,31,0.006982998
BC,14,12,GENH,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,71,JUNI,0.371875598,-0.663187838,0.991258332,1.070260389,2473.4432956000001,43,0.010500813499999999
BC,14,72,TAXU,0.371875598,-0.663187838,0.991258332,1.070260389,2473.4432956000001,43,0.010500813499999999
BC,14,73,CHAM,0.371875598,-0.663187838,0.991258332,1.070260389,2473.4432956000001,43,0.010500813499999999
BC,14,121,CARY,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,122,JUGL,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,123,ALNU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,124,OSTR,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,125,CARP,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,126,FAGU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,127,QUER,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,128,ULMU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,129,MORU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,130,LIRI,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,131,MAGN,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,132,SASS,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,133,PLAT,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,134,PRUN,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,135,GLED,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,136,ROBI,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,137,TILI,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,138,NYSS,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,139,CORN,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,140,ARBU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,141,FRAX,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,142,SALI,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,143,GYMN,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,144,CELT,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,145,AMEL,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,146,CORY,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,147,CRAT,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,148,ILEX,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,149,MALU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,150,NEMO,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,151,RHUS,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,152,SORB,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,153,VIBU,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,154,CAST,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
BC,14,155,ASIM,99.99999999,-2.110098883,0.995381604,1.040908217,187.505731,4,0.005348762
NB,7,1,PICE,7.362573353,-1.496467117,0.997588515,1.199929519,315.23335358000003,16,0.012103901
NB,7,2,PINU,0,0,1,1,,,
NB,7,3,ABIE,24.79633858,-1.614661399,1.015831622,1.363998223,1001.153444,16,0.051943931999999998
NB,7,4,TSUG,0,0,1,1,,,
NB,7,6,LARI,0,0,1,1,,,
NB,7,7,THUJ,99.99999999,-2.577526339,1.000785499,1.04076219,250.40558906999999,10,0.012014524400000001
NB,7,8,GENC,7.362573353,-1.496467117,0.997588515,1.199929519,315.23335358000003,16,0.012103901
NB,7,9,POPU,58.24894279,-1.62024594,1.002062761,1.323456819,1013.4041582999999,13,0.014998762699999999
NB,7,10,BETU,99.99999999,-1.579649885,0.962335779,1.4081327,1083.781035,12,0.051464757700000002
NB,7,11,ACER,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,12,GENH,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,71,JUNI,99.99999999,-2.577526339,1.000785499,1.04076219,250.40558906999999,10,0.012014524400000001
NB,7,72,TAXU,99.99999999,-2.577526339,1.000785499,1.04076219,250.40558906999999,10,0.012014524400000001
NB,7,73,CHAM,99.99999999,-2.577526339,1.000785499,1.04076219,250.40558906999999,10,0.012014524400000001
NB,7,121,CARY,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,122,JUGL,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,123,ALNU,0,0,1,1,1024.6580917000001,12,0.021359985000000001
NB,7,124,OSTR,0,0,1,1,1024.6580917000001,12,0.021359985000000001
NB,7,125,CARP,0,0,1,1,1024.6580917000001,12,0.021359985000000001
NB,7,126,FAGU,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,127,QUER,0,0,1,1,1024.6580917000001,12,0.021359985000000001
NB,7,128,ULMU,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,129,MORU,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,130,LIRI,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,131,MAGN,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,132,SASS,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,133,PLAT,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,134,PRUN,0,0,1,1,1024.6580917000001,12,0.021359985000000001
NB,7,135,GLED,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,136,ROBI,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,137,TILI,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,138,NYSS,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,139,CORN,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,140,ARBU,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,141,FRAX,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,142,SALI,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,143,GYMN,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,144,CELT,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,145,AMEL,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,146,CORY,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,147,CRAT,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,148,ILEX,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,149,MALU,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,150,NEMO,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,151,RHUS,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,152,SORB,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,153,VIBU,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,154,CAST,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NB,7,155,ASIM,99.99999999,-1.877451484,0.985611196,1.315140929,1024.6580917000001,12,0.021359985000000001
NL,1,1,PICE,0.349647251,-1.210702036,0.999333653,1.012236318,203.55722976999999,19,0.0008871
NL,1,3,ABIE,1.671031102,-1.441180063,0.997693309,1.028082421,246.12664093999999,22,0.001307302
NL,1,6,LARI,0,0,1,1,,,
NL,1,8,GENC,0.349647251,-1.210702036,0.999333653,1.012236318,203.55722976999999,19,0.0008871
NL,1,10,BETU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,121,CARY,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,122,JUGL,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,123,ALNU,0,0,1,1,57.430569423999998,6,0.002479261
NL,1,124,OSTR,0,0,1,1,57.430569423999998,6,0.002479261
NL,1,125,CARP,0,0,1,1,57.430569423999998,6,0.002479261
NL,1,126,FAGU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,127,QUER,0,0,1,1,57.430569423999998,6,0.002479261
NL,1,128,ULMU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,129,MORU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,130,LIRI,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,131,MAGN,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,132,SASS,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,133,PLAT,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,134,PRUN,0,0,1,1,57.430569423999998,6,0.002479261
NL,1,135,GLED,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,136,ROBI,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,137,TILI,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,138,NYSS,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,139,CORN,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,140,ARBU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,141,FRAX,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,142,SALI,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,143,GYMN,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,144,CELT,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,145,AMEL,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,146,CORY,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,147,CRAT,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,148,ILEX,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,149,MALU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,150,NEMO,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,151,RHUS,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,152,SORB,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,153,VIBU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,154,CAST,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,1,155,ASIM,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,1,PICE,0.349647251,-1.210702036,0.999333653,1.012236318,203.55722976999999,19,0.0008871
NL,5,2,PINU,0,0,1,1,,,
NL,5,3,ABIE,1.671031102,-1.441180063,0.997693309,1.028082421,246.12664093999999,22,0.001307302
NL,5,6,LARI,0,0,1,1,,,
NL,5,8,GENC,0.349647251,-1.210702036,0.999333653,1.012236318,203.55722976999999,19,0.0008871
NL,5,9,POPU,0,0,1,1,,,
NL,5,10,BETU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,11,ACER,0,0,1,1,,,
NL,5,12,GENH,0,0,1,1,,,
NL,5,121,CARY,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,122,JUGL,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,123,ALNU,0,0,1,1,57.430569423999998,6,0.002479261
NL,5,124,OSTR,0,0,1,1,57.430569423999998,6,0.002479261
NL,5,125,CARP,0,0,1,1,57.430569423999998,6,0.002479261
NL,5,126,FAGU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,127,QUER,0,0,1,1,57.430569423999998,6,0.002479261
NL,5,128,ULMU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,129,MORU,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,130,LIRI,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
NL,5,131,MAGN,0.284672056,-0.975361177,0.994411493,1.02325369,57.430569423999998,6,0.002479261
